,dt_iso,lat,lon,temp,dew_point,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,weather_description,Dhi,Dni,Ghi,pv_power
0,2010-07-01 00:00:00+10:00,-32.951195,151.715443,281.66,276.31,1023,69,5.1,300,,48,scattered clouds,0,0,0,0.0
1,2010-07-01 01:00:00+10:00,-32.951195,151.715443,281.52,277.54,1023,76,4.56,291,,54,broken clouds,0,0,0,0.0
2,2010-07-01 02:00:00+10:00,-32.951195,151.715443,280.92,277.15,1023,77,4.45,289,,85,overcast clouds,0,0,0,0.0
3,2010-07-01 03:00:00+10:00,-32.951195,151.715443,281.06,274.89,1023,65,6.7,300,,84,broken clouds,0,0,0,0.0
4,2010-07-01 04:00:00+10:00,-32.951195,151.715443,280.93,277.34,1023,78,4.16,287,,76,broken clouds,0,0,0,0.0
5,2010-07-01 05:00:00+10:00,-32.951195,151.715443,280.54,277.32,1023,80,4.17,288,,83,broken clouds,0,0,0,0.0
6,2010-07-01 06:00:00+10:00,-32.951195,151.715443,280.36,277.32,1024,81,6.2,300,,64,broken clouds,0,0,0,0.0
7,2010-07-01 07:00:00+10:00,-32.951195,151.715443,280.3,277.26,1025,81,3.99,291,,30,scattered clouds,0,0,0,1.404
8,2010-07-01 08:00:00+10:00,-32.951195,151.715443,282.49,278.48,1026,76,4.33,293,,25,scattered clouds,28,195,57,8.890000000000002
9,2010-07-01 09:00:00+10:00,-32.951195,151.715443,282.11,275.67,1026,64,6.7,300,,40,scattered clouds,41,705,229,18.52799999999999
10,2010-07-01 10:00:00+10:00,-32.951195,151.715443,281.67,275.26,1026,64,1.0,310,,40,scattered clouds,58,790,375,22.938
11,2010-07-01 11:00:00+10:00,-32.951195,151.715443,284.87,277.84,1025,62,3.31,281,,34,scattered clouds,145,575,432,41.749
12,2010-07-01 12:00:00+10:00,-32.951195,151.715443,287.9,276.71,1024,47,6.2,310,,20,few clouds,83,815,531,38.394999999999996
13,2010-07-01 13:00:00+10:00,-32.951195,151.715443,288.1,276.9,1023,47,6.2,310,,15,few clouds,57,889,543,34.996999999999986
14,2010-07-01 14:00:00+10:00,-32.951195,151.715443,287.5,277.22,1023,50,1.58,274,,65,broken clouds,64,831,474,22.304000000000002
15,2010-07-01 15:00:00+10:00,-32.951195,151.715443,288.31,274.82,1023,40,0.0,0,,40,scattered clouds,181,152,246,11.197999999999999
16,2010-07-01 16:00:00+10:00,-32.951195,151.715443,287.99,274.53,1023,40,0.0,0,,40,scattered clouds,108,201,151,1.0590000000000004
17,2010-07-01 17:00:00+10:00,-32.951195,151.715443,285.79,279.17,1024,64,0.85,45,,100,overcast clouds,29,29,33,0.0
18,2010-07-01 18:00:00+10:00,-32.951195,151.715443,283.63,277.77,1025,67,3.6,330,,100,overcast clouds,0,0,0,0.0
19,2010-07-01 19:00:00+10:00,-32.951195,151.715443,283.56,277.7,1025,67,3.6,330,,100,overcast clouds,0,0,0,0.0
20,2010-07-01 20:00:00+10:00,-32.951195,151.715443,283.51,278.89,1025,73,1.94,338,,100,overcast clouds,0,0,0,0.0
21,2010-07-01 21:00:00+10:00,-32.951195,151.715443,281.57,273.31,1025,56,3.6,310,,99,overcast clouds,0,0,0,0.0
22,2010-07-01 22:00:00+10:00,-32.951195,151.715443,281.73,273.46,1026,56,3.6,310,,100,overcast clouds,0,0,0,0.0
23,2010-07-01 23:00:00+10:00,-32.951195,151.715443,283.0,279.16,1026,77,2.75,297,,100,overcast clouds,0,0,0,0.0
24,2010-07-02 00:00:00+10:00,-32.951195,151.715443,280.65,274.93,1026,67,3.6,300,,100,overcast clouds,0,0,0,0.0
25,2010-07-02 01:00:00+10:00,-32.951195,151.715443,280.92,275.18,1026,67,3.6,300,,100,overcast clouds,0,0,0,0.0
26,2010-07-02 02:00:00+10:00,-32.951195,151.715443,282.22,278.78,1026,79,2.7,285,,100,overcast clouds,0,0,0,0.0
27,2010-07-02 03:00:00+10:00,-32.951195,151.715443,280.56,275.85,1026,72,3.6,310,,100,overcast clouds,0,0,0,0.0
28,2010-07-02 04:00:00+10:00,-32.951195,151.715443,280.49,275.78,1026,72,3.6,310,,99,overcast clouds,0,0,0,0.0
29,2010-07-02 05:00:00+10:00,-32.951195,151.715443,282.28,278.83,1026,79,2.68,267,,100,overcast clouds,0,0,0,0.0
30,2010-07-02 06:00:00+10:00,-32.951195,151.715443,280.38,276.99,1026,79,3.1,300,,100,overcast clouds,0,0,0,0.0
31,2010-07-02 07:00:00+10:00,-32.951195,151.715443,280.5,277.28,1027,80,3.1,300,,100,overcast clouds,0,0,0,0.49500000000000016
32,2010-07-02 08:00:00+10:00,-32.951195,151.715443,283.61,279.76,1027,77,2.65,272,,100,overcast clouds,11,0,11,6.901999999999998
33,2010-07-02 09:00:00+10:00,-32.951195,151.715443,282.37,277.79,1027,73,0.0,0,,75,broken clouds,88,0,88,15.222
34,2010-07-02 10:00:00+10:00,-32.951195,151.715443,282.59,278.0,1027,73,0.0,0,,75,broken clouds,150,0,150,12.865000000000007
35,2010-07-02 11:00:00+10:00,-32.951195,151.715443,284.77,278.86,1027,67,2.61,293,,100,overcast clouds,155,0,155,10.619
36,2010-07-02 12:00:00+10:00,-32.951195,151.715443,286.15,277.84,1026,57,3.6,320,,100,overcast clouds,160,0,160,7.143000000000003
37,2010-07-02 13:00:00+10:00,-32.951195,151.715443,286.18,277.87,1025,57,3.6,320,,100,overcast clouds,111,0,111,7.089999999999999
38,2010-07-02 14:00:00+10:00,-32.951195,151.715443,285.59,279.42,1024,66,2.94,288,,100,overcast clouds,103,0,103,4.3759999999999994
39,2010-07-02 15:00:00+10:00,-32.951195,151.715443,285.78,278.7,1024,62,0.0,0,,90,overcast clouds,74,0,74,3.269
40,2010-07-02 16:00:00+10:00,-32.951195,151.715443,285.68,278.6,1024,62,0.0,0,,90,overcast clouds,64,0,64,0.5350000000000003
41,2010-07-02 17:00:00+10:00,-32.951195,151.715443,284.79,279.92,1024,72,3.07,304,,99,overcast clouds,26,0,26,0.0
42,2010-07-02 18:00:00+10:00,-32.951195,151.715443,283.84,279.79,1024,76,5.1,300,,96,overcast clouds,0,0,0,0.0
43,2010-07-02 19:00:00+10:00,-32.951195,151.715443,283.89,280.03,1024,77,5.1,300,,83,broken clouds,0,0,0,0.0
44,2010-07-02 20:00:00+10:00,-32.951195,151.715443,283.73,280.79,1025,82,4.44,299,,82,broken clouds,0,0,0,0.0
45,2010-07-02 21:00:00+10:00,-32.951195,151.715443,283.41,278.39,1025,71,5.1,310,,78,broken clouds,0,0,0,0.0
46,2010-07-02 22:00:00+10:00,-32.951195,151.715443,283.32,278.3,1024,71,5.1,310,,48,scattered clouds,0,0,0,0.0
47,2010-07-02 23:00:00+10:00,-32.951195,151.715443,283.24,280.13,1025,81,5.14,279,,83,broken clouds,0,0,0,0.0
48,2010-07-03 00:00:00+10:00,-32.951195,151.715443,282.66,279.2,1024,79,6.7,310,,80,broken clouds,0,0,0,0.0
49,2010-07-03 01:00:00+10:00,-32.951195,151.715443,282.64,279.18,1024,79,6.7,310,,36,scattered clouds,0,0,0,0.0
50,2010-07-03 02:00:00+10:00,-32.951195,151.715443,282.24,279.51,1024,83,5.87,281,,5,sky is clear,0,0,0,0.0
51,2010-07-03 03:00:00+10:00,-32.951195,151.715443,281.68,278.96,1024,83,7.7,320,,5,sky is clear,0,0,0,0.0
52,2010-07-03 04:00:00+10:00,-32.951195,151.715443,281.71,278.99,1024,83,7.7,320,,3,sky is clear,0,0,0,0.0
53,2010-07-03 05:00:00+10:00,-32.951195,151.715443,281.1,278.74,1024,85,6.49,281,,1,sky is clear,0,0,0,0.0
54,2010-07-03 06:00:00+10:00,-32.951195,151.715443,281.26,278.89,1024,85,7.7,310,,2,sky is clear,0,0,0,0.0
55,2010-07-03 07:00:00+10:00,-32.951195,151.715443,281.26,278.89,1025,85,7.7,310,,7,sky is clear,0,0,0,3.719
56,2010-07-03 08:00:00+10:00,-32.951195,151.715443,283.55,279.12,1026,74,6.23,265,,11,few clouds,22,323,63,14.910000000000005
57,2010-07-03 09:00:00+10:00,-32.951195,151.715443,283.74,278.3,1026,69,2.6,310,,40,scattered clouds,44,675,224,27.847000000000005
58,2010-07-03 10:00:00+10:00,-32.951195,151.715443,283.93,278.48,1026,69,2.6,310,,40,scattered clouds,54,789,373,37.370999999999995
59,2010-07-03 11:00:00+10:00,-32.951195,151.715443,285.73,278.88,1026,63,5.84,232,,18,few clouds,62,836,481,42.851
60,2010-07-03 12:00:00+10:00,-32.951195,151.715443,287.73,276.86,1026,48,6.7,240,,10,sky is clear,67,855,538,42.096000000000004
61,2010-07-03 13:00:00+10:00,-32.951195,151.715443,287.83,276.95,1025,48,6.7,240,,8,sky is clear,67,857,537,36.91700000000001
62,2010-07-03 14:00:00+10:00,-32.951195,151.715443,287.49,277.77,1025,52,5.91,212,,6,sky is clear,60,848,478,28.443
63,2010-07-03 15:00:00+10:00,-32.951195,151.715443,287.99,273.82,1026,38,6.7,240,,4,sky is clear,53,795,365,15.705999999999994
64,2010-07-03 16:00:00+10:00,-32.951195,151.715443,287.79,273.64,1027,38,6.7,240,,4,sky is clear,43,671,211,2.5469999999999997
65,2010-07-03 17:00:00+10:00,-32.951195,151.715443,285.29,278.0,1027,61,4.89,217,,3,sky is clear,18,277,50,0.0
66,2010-07-03 18:00:00+10:00,-32.951195,151.715443,283.27,276.1,1028,61,4.1,260,,6,sky is clear,0,0,0,0.0
67,2010-07-03 19:00:00+10:00,-32.951195,151.715443,283.04,275.88,1028,61,4.1,260,,15,few clouds,0,0,0,0.0
68,2010-07-03 20:00:00+10:00,-32.951195,151.715443,283.01,276.75,1028,65,4.49,234,,25,scattered clouds,0,0,0,0.0
69,2010-07-03 21:00:00+10:00,-32.951195,151.715443,280.46,273.89,1029,63,4.6,280,,40,scattered clouds,0,0,0,0.0
70,2010-07-03 22:00:00+10:00,-32.951195,151.715443,280.31,273.75,1029,63,4.6,280,,38,scattered clouds,0,0,0,0.0
71,2010-07-03 23:00:00+10:00,-32.951195,151.715443,283.09,277.47,1029,68,4.55,245,,42,scattered clouds,0,0,0,0.0
72,2010-07-04 00:00:00+10:00,-32.951195,151.715443,280.75,274.38,1029,64,4.6,300,,40,scattered clouds,0,0,0,0.0
73,2010-07-04 01:00:00+10:00,-32.951195,151.715443,280.61,274.25,1029,64,4.6,300,,43,scattered clouds,0,0,0,0.0
74,2010-07-04 02:00:00+10:00,-32.951195,151.715443,282.82,277.21,1029,68,4.65,234,,39,scattered clouds,0,0,0,0.0
75,2010-07-04 03:00:00+10:00,-32.951195,151.715443,282.53,274.45,1029,57,5.1,250,,34,scattered clouds,0,0,0,0.0
76,2010-07-04 04:00:00+10:00,-32.951195,151.715443,282.5,274.42,1028,57,5.1,250,,32,scattered clouds,0,0,0,0.0
77,2010-07-04 05:00:00+10:00,-32.951195,151.715443,282.09,277.32,1028,72,4.72,232,,37,scattered clouds,0,0,0,0.0
78,2010-07-04 06:00:00+10:00,-32.951195,151.715443,280.82,276.29,1029,73,4.64,232,,40,scattered clouds,0,0,0,0.0
79,2010-07-04 07:00:00+10:00,-32.951195,151.715443,280.71,276.19,1029,73,4.51,230,,31,scattered clouds,0,0,0,0.37900000000000017
80,2010-07-04 08:00:00+10:00,-32.951195,151.715443,284.08,278.83,1030,70,4.17,232,,43,scattered clouds,37,0,37,9.284
81,2010-07-04 09:00:00+10:00,-32.951195,151.715443,283.44,277.37,1030,66,0.0,0,,40,scattered clouds,109,0,109,13.313
82,2010-07-04 10:00:00+10:00,-32.951195,151.715443,283.51,277.44,1029,66,0.0,0,,40,scattered clouds,198,120,250,15.074000000000002
83,2010-07-04 11:00:00+10:00,-32.951195,151.715443,286.13,281.0,1029,71,4.01,209,,60,broken clouds,205,344,379,19.484999999999996
84,2010-07-04 12:00:00+10:00,-32.951195,151.715443,287.4,279.01,1028,57,4.1,260,,64,broken clouds,187,481,453,19.739
